worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":117,"unmatched":208,"nonMadrid":0,"invalid":0,"responseBytes":28337,"responseDurationMs":10,"timestamp":"2026-08-20T06:51:58.314Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":118,"unmatched":211,"nonMadrid":0,"invalid":0,"responseBytes":23354,"responseDurationMs":39,"timestamp":"2026-08-20T06:52:27.428Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":118,"unmatched":206,"nonMadrid":0,"invalid":0,"responseBytes":28133,"responseDurationMs":7,"timestamp":"2026-08-20T06:52:28.589Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"service_alerts","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":11,"unmatched":0,"nonMadrid":76,"invalid":0,"responseBytes":64973,"responseDurationMs":11,"timestamp":"2026-08-20T06:52:30.393Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":119,"unmatched":171,"nonMadrid":0,"invalid":0,"responseBytes":20676,"responseDurationMs":37,"timestamp":"2026-08-20T06:52:57.002Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":119,"unmatched":170,"nonMadrid":0,"invalid":0,"responseBytes":25153,"responseDurationMs":8,"timestamp":"2026-08-20T06:52:57.956Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":118,"unmatched":213,"nonMadrid":0,"invalid":0,"responseBytes":23680,"responseDurationMs":48,"timestamp":"2026-08-20T06:53:27.134Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":118,"unmatched":208,"nonMadrid":0,"invalid":0,"responseBytes":28253,"responseDurationMs":11,"timestamp":"2026-08-20T06:53:28.166Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"service_alerts","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":11,"unmatched":0,"nonMadrid":76,"invalid":0,"responseBytes":64973,"responseDurationMs":11,"timestamp":"2026-08-20T06:53:30.024Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":119,"unmatched":215,"nonMadrid":0,"invalid":0,"responseBytes":23973,"responseDurationMs":59,"timestamp":"2026-08-20T06:53:57.192Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":119,"unmatched":210,"nonMadrid":0,"invalid":0,"responseBytes":28700,"responseDurationMs":63,"timestamp":"2026-08-20T06:53:58.339Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":119,"unmatched":211,"nonMadrid":0,"invalid":0,"responseBytes":23639,"responseDurationMs":37,"timestamp":"2026-08-20T06:54:27.177Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
